"3.2-4.2","屏束縣泰武鄉"
"4.2-8.0","居民大多為排灣魯凱族原住民"
"8.0-10.6","其中吾拉人魯滋部落"
"10.6-14.6","歷經蔓拉克風災侵江家固"
"14.6-19.6","搬思至泰武萬蠻交界的地區"
"19.6-23.0","以咖啡浴火重生"
"23.0-28.4","也有碌客夫妻回鄉共營咖啡店"
"42.8-44.2","彈起吉他了芝與哼唱"
"44.2-46.8","悠揚宏亮歌禹縱役屏東泰武"
"46.8-48.2","悠揚宏亮歌各鄉徹屏束泰武"
"48.2-49.6","排灣族吉年許鎧琳"
"55.8-58.2","般定水注測回定點注入關"
"58.2-58.8","濾波咖啡香撲以而困"
"58.8-60.8","江濃咖啡香撲屋而來"
"60.8-62.2","許鎧琳和太太小大"
"62.2-63.0","是一對原客夫妻"
"63.0-63.8","是一對原客夫支六台讓"
"63.8-65.4","是一對原客夫協語"
"65.4-68.2","離鄉的日了皓"
"68.2-70.2","兩的必被家鄉緊緊牽引著"
"70.2-72.0","於是20媽年決定回到家鄉"
"75.2-76.4","有人喜歡帶一點"
"76.4-79.0","更多的水果的一些酸甜威說2"
"79.0-82.6","那我們在這個烘焙上面的二個程有"
"82.6-84.4","太必各"
"84.4-86.0","講起咖啡侃侃而談00和"
"86.0-88.0","這對夫妻返鄉經營咖啡事業a雇"
"88.0-91.0","從咖啡豆種植採摘烘焙等處1"
"91.0-95.4","產地到餐愉一條龍包辦"
"95.4-98.2","太太小雇原本從事美髮業"
"98.2-100.4","如今和丈夫共營咖啡店"
"100.4-102.4","她坦言一開始極度夫適應"
"105.0-106.8","一定是不太適應啦了"
"106.8-108.4","那因為結婚了是和"
"108.4-110.4","因為他選的行業是咖啡才斷人"
"110.4-111.2","那等於對我來講才斷"
"111.2-115.0","是換個環境換個工作人紡人"
"115.0-118.6","屏束率武鄉"
"118.6-121.2","念來銀多民眾投入咖啡產業"
"121.2-123.0","尤其在吾拉人魯滋部落"
"127.0-128.2","泰武鄉吾拉人魯滋部落"
"128.2-129.4","村民原本的家固"
"129.4-131.8","在北大武山西側的泰武部落"
"131.8-136.2","2009年英拉克駱風來身受到重創"
"141.0-142.2","現在位於的這個地中點答"
"142.2-145.6","算是一個原鄉然後客庄"
"145.6-148.8","然後跟導南村的說個次界的一個"
"148.8-149.8","所以我們這刻擁有本"
"154.0-155.4","新的家點跨越族群玩偶"
"155.4-158.4","村民更決定sm和說"
"158.4-158.6","村民更決定生宁磁EEP"
"168.2-169.0","暗紅色燈光下"
"169.0-171.6","咖啡粉和熱水波濤洶湧"
"171.6-175.4","杯測師盡情啜次品評"
"178.8-180.2","在這個紅色光譜下"
"180.2-181.6","咖啡全部看起來是一樣的"
"181.6-183.2","所以你喝起來的時候就是"
"187.6-189.4","乾濕處理烘烤裝圓"
"189.4-190.6","屏束咖啡點區內"
"190.6-192.2","加工設備樣樣齊全"
"192.2-195.0","從一杯咖啡到研發系列商品"
"195.0-197.8","培育咖啡職大到部落經營"
